"subj_idx","congruency","AffValue","response","rt"
0,"Co","pos",1,0.530481200010399
0,"Co","pos",1,0.57087270001648
0,"Co","pos",1,0.560018900010618
0,"Co","pos",1,0.525838900008239
0,"Co","pos",1,2.27391610000632
0,"Co","pos",1,0.743093900004169
0,"Co","pos",1,0.826234500011196
0,"Co","pos",1,0.940928900017752
0,"Co","pos",1,0.619826400012244
0,"Co","pos",1,0.665755500012892
0,"Co","pos",1,0.548539900017204
0,"Co","pos",1,0.807810300015262
0,"Co","pos",1,0.703566400014097
0,"Co","pos",1,0.894448100007139
0,"Co","pos",1,0.514543400000548
0,"Co","pos",1,0.845035100006498
0,"Co","pos",1,0.5844505999994
0,"Co","pos",1,0.667379000020446
0,"Co","pos",1,0.691899400015245
0,"Co","pos",1,0.773770100015099
0,"Co","pos",1,0.685665500015602
0,"Co","pos",1,0.708728300000075
0,"Co","pos",1,0.564221400010865
0,"Co","pos",1,0.509534400014672
0,"Co","pos",0,0.587192200007848
0,"Co","pos",1,0.546741300015128
0,"Co","pos",1,0.549848100010422
0,"Co","pos",1,0.66959640001005
0,"Co","pos",0,0.813124100008281
0,"Co","pos",1,0.590729400020791
0,"Co","pos",1,0.82321130001219
0,"Co","pos",1,0.635628600008204
0,"Co","pos",1,0.548369700016337
0,"Co","pos",1,0.50818370001798
0,"Co","pos",1,0.523493600005168
0,"Co","pos",1,0.626768300004187
0,"Co","pos",1,0.719940500013763
0,"Co","pos",1,0.545411200015224
0,"Co","pos",1,1.87352520000422
0,"Co","pos",1,1.1235113000148
0,"Co","pos",1,0.470331300020916
0,"Co","pos",1,0.498658000011346
0,"Co","pos",1,0.671567600002163
0,"Co","pos",1,0.648653600015678
0,"Co","pos",1,0.548280500006513
0,"Co","pos",1,0.479475300016929
0,"Co","pos",1,0.555643600018811
0,"Co","pos",1,0.620595900007174
0,"Co","pos",0,0.830640000014682
0,"Co","pos",1,0.799147100013215
0,"Co","pos",1,0.510649100018782
0,"Co","pos",1,0.568244300011429
0,"Co","pos",1,0.546610300021712
0,"Co","pos",1,0.617516200014506
0,"Co","pos",1,0.624303200020222
0,"Co","pos",1,0.554761800012784
0,"Co","pos",1,0.528234800003702
0,"Co","pos",1,0.593277300009504
0,"Co","pos",1,0.83894830000645
0,"Co","pos",1,0.653416200017091
0,"Co","pos",1,0.564827700000023
0,"Co","pos",1,0.505831800008309
0,"Co","pos",1,0.650301700006821
0,"Co","pos",1,0.575622500007739
0,"Co","pos",1,0.553941999998642
0,"Co","pos",1,0.538571400000365
0,"Co","pos",1,1.23376840000856
0,"Co","pos",1,0.500155800022185
0,"Co","pos",1,1.62391560000833
0,"Ic","neg",1,0.710403200020664
0,"Ic","pos",1,0.609749400013243
0,"Ic","neg",1,0.610607000009622
0,"Ic","neg",1,0.61850530000811
0,"Ic","neg",1,0.657493500009878
0,"Ic","neg",1,0.441779100015992
0,"Ic","neg",1,0.65848460001871
0,"Ic","neg",1,0.713816500006942
0,"Ic","neg",1,0.69300060000387
0,"Ic","neg",1,0.945350599999074
0,"Ic","neg",1,0.588967800009414
0,"Ic","neg",1,0.985038000013446
0,"Ic","neg",1,0.546051500015892
0,"Ic","neg",1,1.53274920000695
0,"Ic","neg",0,1.28578380000545
0,"Ic","pos",1,0.932887600007234
0,"Ic","pos",1,0.541282300007879
0,"Ic","neg",1,1.13475080000353
0,"Ic","neg",1,0.626688900010777
0,"Ic","neg",1,0.631297700005234
0,"Ic","neg",1,0.531834100009291
0,"Ic","neg",1,0.670329700005823
0,"Ic","neg",1,0.607194400014123
0,"Ic","pos",1,0.675458900019294
0,"Ic","pos",1,0.82159550000506
0,"Ic","neg",1,0.568716800014954
0,"Ic","neg",1,0.610539100016467
0,"Ic","neg",1,0.681591800021124
0,"Ic","neg",1,0.54999610001687
0,"Ic","neg",1,0.701071600007708
0,"Ic","neg",1,0.586858400012716
0,"Ic","pos",1,0.670322400008445
0,"Ic","pos",1,0.596678000001702
0,"Ic","pos",1,0.646662900006049
0,"Ic","pos",1,0.5653544000088
0,"Ic","pos",1,0.651002300000982
0,"Ic","pos",1,0.724974199998542
0,"Ic","pos",1,0.628923900003429
0,"Ic","pos",1,0.658459600017522
0,"Ic","neg",1,0.647643200019957
0,"Ic","neg",1,0.628933100015274
0,"Ic","neg",1,0.535481400002027
0,"Ic","neg",1,0.555610100011108
0,"Ic","neg",1,0.901090800020029
0,"Ic","pos",1,0.784038600002532
0,"Ic","pos",1,1.49607960000867
0,"Ic","pos",1,0.480203800005256
0,"Ic","pos",1,0.61677450001298
0,"Ic","pos",1,0.639684900001157
0,"Ic","neg",1,0.568896400014637
0,"Ic","neg",1,0.727758500011987
0,"Ic","neg",1,0.641132300006575
0,"Ic","neg",1,0.541111900020042
0,"Ic","neg",1,0.669088599999668
0,"Ic","pos",1,0.615807500013034
0,"Ic","pos",1,0.610180100018624
0,"Ic","neg",1,0.672004500011099
0,"Ic","neg",1,0.681545900006313
0,"Ic","pos",1,1.13749910000479
0,"Ic","pos",1,0.608786500015412
0,"Ic","pos",1,0.603817300012452
0,"Ic","pos",1,0.590743000007933
0,"Ic","neg",1,0.661516700012726
0,"Ic","neg",1,0.768028000020422
0,"Ic","neg",1,0.684835300009581
0,"Ic","pos",1,1.3975602999999
0,"Ic","pos",1,0.71016720001353
0,"Ic","pos",1,0.48384729999816
0,"Ic","pos",1,1.50524540001061
0,"Ic","pos",1,1.12938660001964
0,"Ic","pos",1,0.643923800002085
0,"Ic","pos",1,0.689821000021766
0,"Ic","pos",1,0.591239100001985
0,"Ic","neg",1,0.636875400014105
0,"Ic","neg",1,0.623327300010715
0,"Ic","neg",1,0.567465900006937
0,"Ic","pos",1,0.650377600002685
0,"Ic","pos",1,0.503026000005775
0,"Ic","pos",1,0.637840200011851
0,"Ic","pos",1,0.912069400015753
0,"Ic","pos",0,1.10851700001513
0,"Ic","pos",1,0.507951200008392
0,"Ic","neg",1,1.43373010000505
0,"Ic","neg",1,1.1678421000106
0,"Ic","neg",1,0.5789766000089
0,"Ic","neg",1,0.646653200004948
0,"Ic","neg",1,0.783209100016393
0,"Ic","neg",1,0.67224620001798
0,"Ic","neg",1,0.99936770000204
0,"Ic","neg",1,0.608019800012698
0,"Ic","pos",1,0.61149250001472
0,"Ic","pos",1,0.565815900001326
0,"Ic","pos",1,0.864825000011479
0,"Ic","pos",1,0.683811200011405
0,"Ic","pos",1,0.450141700013774
0,"Ic","pos",1,1.09787460001826
0,"Ic","neg",1,0.963930600002641
0,"Ic","neg",1,0.57892100000754
0,"Ic","neg",1,0.651957500012941
0,"Ic","pos",0,0.484255400006077
0,"Ic","pos",1,0.632644900004379
0,"Ic","pos",1,0.772841600017273
0,"Ic","pos",1,0.642668800006504
0,"Ic","neg",1,0.641506900006789
0,"Ic","neg",1,1.00467239999853
0,"Ic","neg",1,0.604060100013157
0,"Ic","neg",1,0.665923100008513
0,"Ic","neg",1,0.64380930000334
0,"Ic","neg",1,0.869559800004936
0,"Ic","neg",1,0.541690100013511
0,"Ic","pos",1,0.667355100013083
0,"Ic","pos",1,0.65151490001881
0,"Ic","neg",1,0.545757700005197
0,"Ic","neg",1,0.602809300020454
0,"Ic","neg",1,0.504842100010137
0,"Ic","pos",1,2.32227260000946
0,"Ic","pos",1,0.498221200003172
0,"Ic","neg",1,1.299485800002
0,"Ic","neg",1,0.506257200016989
0,"Ic","neg",1,0.531591999999364
0,"Ic","neg",1,0.59382320001896
0,"Ic","pos",1,0.619271200004732
0,"Ic","neg",1,0.578345100017032
0,"Ic","pos",1,0.498000300023705
0,"Ic","pos",1,0.63382340001408
0,"Ic","neg",1,0.558076400018763
0,"Ic","neg",1,0.601233900000807
0,"Ic","pos",1,0.792313500016462
0,"Ic","neg",1,0.600774800012005
0,"Ic","neg",1,0.893861300006392
0,"Ic","neg",1,0.479094500013161
0,"Ic","neg",1,0.862025100010214
0,"Ic","neg",1,0.52964070001326
0,"Ic","neg",1,1.28138290002244
0,"Ic","pos",1,0.711116400008905
0,"Ic","pos",1,0.549430100014433
0,"Ic","pos",1,0.640509400007431
0,"Ic","pos",1,0.760136700017028
0,"Ic","pos",1,0.513398400013102
0,"Ic","pos",1,0.99894590000622
0,"Ic","pos",1,0.641793700007838
0,"Ic","pos",1,0.689951200009091
0,"Ic","neg",1,0.688155000010738
0,"Ic","neg",1,0.494362300014473
0,"Ic","pos",1,0.599873500017566
0,"Ic","pos",1,0.580893600010313
0,"Ic","pos",1,0.65878710000834
0,"Ic","pos",1,0.536070800008019
0,"Ic","pos",1,0.73167460001423
0,"Ic","pos",1,0.680186400015373
0,"Ic","pos",1,0.848717000000761
0,"Ic","pos",1,1.13951270001417
0,"Ic","pos",1,0.692515300004743
0,"Ic","pos",1,1.26728450001974
0,"Ic","pos",1,0.58617370002321
0,"Ic","pos",1,0.765906300002825
0,"Ic","pos",1,0.750329100003
0,"Ic","pos",1,0.536214100007783
0,"Ic","pos",1,0.667279500019504
0,"Ic","pos",1,0.599459400007618
1,"Co","pos",1,0.521547600001213
1,"Co","pos",1,0.568392100001802
1,"Co","pos",0,0.418901299999561
1,"Co","pos",1,0.497808900003292
1,"Co","pos",1,0.609053899999708
1,"Co","pos",1,0.54269099999874
1,"Co","pos",1,0.454086700003245
1,"Co","pos",1,0.620409900002414
1,"Co","pos",1,0.641441699997813
1,"Co","pos",1,0.511389100000088
1,"Co","pos",1,0.536456599998928
1,"Co","pos",1,0.568852700002026
1,"Co","pos",1,0.494458600001963
1,"Co","pos",1,0.816210700002557
1,"Co","pos",1,0.691668300001766
1,"Co","pos",1,0.497850399999152
1,"Co","pos",1,0.577590699998836
1,"Co","pos",1,0.839899699996749
1,"Co","pos",1,0.473118599998998
1,"Co","pos",1,0.773358300000837
1,"Co","pos",1,0.604585600001883
1,"Co","pos",1,0.545726899999863
1,"Co","pos",1,0.401996000000509
1,"Co","pos",1,0.49641320000228
1,"Co","pos",1,0.47747420000087
1,"Co","pos",1,0.521123999998963
1,"Co","pos",1,0.690434000000096
1,"Co","pos",1,0.435256000000663
1,"Co","pos",1,0.596506000001682
1,"Co","pos",1,0.459807399998681
1,"Co","pos",1,0.551130100000591
1,"Co","pos",1,0.54232779999802
1,"Co","pos",1,0.5105212999988
1,"Co","pos",1,0.590710799999215
1,"Co","pos",1,0.598692999999912
1,"Co","pos",1,0.488837500000955
1,"Co","pos",1,0.576273999999103
1,"Co","pos",1,0.664693199996691
1,"Co","pos",1,0.73048320000089
1,"Co","neg",1,0.459170499998436
1,"Co","neg",0,0.540916599999036
1,"Co","neg",1,0.588472899999033
1,"Co","neg",1,0.489413899998908
1,"Co","neg",1,0.531035500000144
1,"Co","neg",1,0.497881100000086
1,"Co","neg",1,0.520024900000863
1,"Co","neg",1,0.563074699999561
1,"Co","neg",1,0.565237599999818
1,"Co","neg",1,0.457596800002648
1,"Co","neg",1,0.536903000000166
1,"Co","neg",1,0.519884499997715
1,"Co","neg",1,0.565264799999568
1,"Co","neg",1,0.573703300000489
1,"Co","neg",1,0.476843899999949
1,"Co","neg",1,0.701349799997843
1,"Co","neg",1,0.521734800000559
1,"Co","neg",1,0.53969049999796
1,"Co","neg",1,0.608810900001117
1,"Co","neg",1,0.593255400002818
1,"Co","neg",1,0.396927400001005
1,"Co","neg",1,0.575530300000537
1,"Co","neg",1,0.38537340000039
1,"Co","neg",1,0.580563499999698
1,"Co","neg",1,0.499352400001953
1,"Co","neg",1,0.571883000000525
1,"Co","neg",1,0.529626700001245
1,"Co","neg",1,0.547079500000109
1,"Co","neg",1,0.525633699999162
1,"Co","neg",1,0.661501099999441
1,"Co","neg",1,0.538607399998
1,"Co","neg",1,0.47274760000073
1,"Co","neg",0,0.397965399999521
1,"Co","neg",0,0.43080320000081
1,"Co","neg",1,0.51667880000241
1,"Co","neg",1,0.507755599999655
1,"Co","neg",1,0.562914800000726
1,"Co","neg",1,0.495214300000953
1,"Co","neg",1,0.584243199999037
1,"Co","neg",1,0.814646899998479
1,"Co","neg",1,0.530474700000923
1,"Co","neg",1,0.612355900000694
1,"Co","neg",1,0.393464500000846
1,"Co","neg",1,0.466611599997123
1,"Co","neg",1,0.526831899998797
1,"Co","neg",1,0.480641499998455
1,"Co","neg",1,0.59812100000272
1,"Co","neg",1,0.611630700001115
1,"Co","neg",1,0.5367989999977
1,"Co","neg",1,0.676772499999061
1,"Co","neg",1,0.45580770000015
1,"Co","neg",1,0.61681850000241
1,"Co","neg",1,0.473054199999751
1,"Co","neg",1,0.610545399998955
1,"Co","neg",1,0.442468099998223
1,"Co","neg",1,0.452246900000318
1,"Co","neg",1,0.48530970000138
1,"Co","neg",1,0.371855099998356
1,"Co","neg",1,0.57029859999966
1,"Co","neg",1,0.587221699999645
1,"Co","neg",1,0.441449199999624
1,"Co","neg",1,0.628708699998242
1,"Co","neg",1,0.539078900001186
1,"Co","neg",1,0.528248800001165
1,"Co","neg",1,0.607174600001599
1,"Co","neg",1,0.653810900003009
1,"Co","neg",1,0.683039300001838
1,"Co","neg",1,0.56794599999921
1,"Co","neg",1,0.510972599997331
1,"Co","neg",1,0.820945700001175
1,"Co","neg",1,0.543682899999112
1,"Co","neg",1,0.651965499997459
1,"Co","neg",1,0.500718700001016
1,"Co","neg",1,0.51279649999924
1,"Co","neg",1,0.534275199999684
1,"Co","neg",1,0.477541600001132
1,"Co","neg",1,0.536393400001543
1,"Co","neg",1,0.575846499999898
1,"Co","neg",1,0.464678000000276
1,"Co","neg",1,0.555776199998945
1,"Co","pos",1,0.547548300000926
1,"Co","pos",1,0.375297599999612
1,"Co","pos",1,0.545949600000313
1,"Co","pos",1,0.470137199998135
1,"Co","pos",1,0.430176199999551
1,"Co","pos",1,0.646932599996944
1,"Co","pos",1,0.552421100001084
1,"Co","pos",1,0.642406399998436
1,"Co","pos",1,0.787802200000442
1,"Co","pos",1,0.657754399999249
1,"Co","pos",1,0.561851299997215
1,"Co","pos",1,0.549216300001717
1,"Co","pos",1,0.592792000003101
1,"Co","pos",1,0.603402500000811
1,"Co","pos",1,0.579476500002784
1,"Co","pos",1,0.52725780000037
1,"Co","pos",1,0.603111599997646
1,"Co","pos",1,0.555381099999067
1,"Co","pos",1,0.66049429999839
1,"Co","pos",1,0.647397699998692
1,"Co","pos",0,0.512494200000219
1,"Co","pos",1,0.599433899998985
1,"Co","pos",1,0.630319699997926
1,"Co","pos",1,0.572350200000074
1,"Co","pos",1,0.653016899999784
1,"Co","pos",1,0.573592699998699
1,"Co","pos",1,0.593265899999096
1,"Co","pos",1,0.566033900002367
1,"Co","pos",1,0.712701899999956
1,"Co","pos",1,0.544168500000524
1,"Co","pos",1,0.555736300000717
1,"Co","pos",1,0.611817800003337
1,"Co","pos",1,0.521035300000221
1,"Co","pos",1,0.434893400000874
1,"Co","pos",1,0.471972200000891
1,"Co","pos",0,0.447936000000482
1,"Co","pos",1,0.45593369999915
1,"Co","pos",1,0.765364999999292
1,"Co","pos",1,0.475737600001594
1,"Co","pos",1,0.467812499999127
1,"Co","pos",1,0.495846199999505
1,"Ic","pos",1,0.741034200000286
1,"Ic","neg",1,0.718951200000447
1,"Ic","pos",1,0.615730000001349
1,"Ic","pos",1,0.654415400000289
1,"Ic","pos",1,1.45643700000073
1,"Ic","pos",1,0.527614399998129
1,"Ic","pos",1,0.499229199998808
1,"Ic","neg",1,0.610617499998625
1,"Ic","pos",1,0.72687230000156
1,"Ic","pos",1,0.481102900001133
1,"Ic","neg",1,0.48847079999905
1,"Ic","neg",1,0.521137199997611
1,"Ic","neg",1,0.479407899998478
1,"Ic","neg",1,0.574022200002219
1,"Ic","pos",0,0.65053110000008
1,"Ic","neg",1,0.450997799998731
1,"Ic","neg",1,0.556325400000787
1,"Ic","neg",1,0.491540300001361
1,"Ic","neg",1,0.590176199999405
1,"Ic","neg",1,0.790477200000169
1,"Ic","neg",1,0.42420409999977
1,"Ic","pos",1,0.621233600002597
1,"Ic","neg",1,0.679246399999101
1,"Ic","neg",0,0.382461999997759
1,"Ic","neg",1,0.405825100002403
1,"Ic","neg",1,0.52529929999946
1,"Ic","neg",1,0.671521500000381
1,"Ic","neg",1,0.476351000001159
1,"Ic","neg",1,0.643365699997958
1,"Ic","neg",1,0.507517999998527
1,"Ic","neg",1,0.572903699998278
1,"Ic","neg",1,0.456474099999468
1,"Ic","neg",1,0.397638500002358
1,"Ic","neg",1,0.522518599998875
1,"Ic","neg",1,0.427598599999328
1,"Ic","neg",1,0.530733700001292
1,"Ic","neg",1,0.662969900000462
1,"Ic","neg",1,0.624729700000898
1,"Ic","neg",1,0.526940299998387
1,"Ic","neg",1,0.678573799999867
1,"Ic","neg",1,0.480025900000328
1,"Ic","neg",1,0.623445500001253
1,"Ic","neg",1,0.62228309999773
1,"Ic","pos",1,0.440676499998517
1,"Ic","pos",1,0.740561799997522
1,"Ic","neg",1,0.493094699999347
1,"Ic","neg",1,0.448739199997362
1,"Ic","neg",1,0.491003600000113
1,"Ic","neg",1,0.576507600002515
1,"Ic","neg",1,0.40344130000085
1,"Ic","neg",1,0.759185000002617
1,"Ic","neg",1,0.452882599998702
1,"Ic","neg",1,0.648820599999453
1,"Ic","neg",1,0.53380709999692
1,"Ic","neg",1,0.955052200002683
1,"Ic","neg",1,0.618995100001484
1,"Ic","neg",1,0.536669200002507
1,"Ic","pos",1,0.52922480000052
1,"Ic","pos",1,0.495497299998533
1,"Ic","pos",1,0.731360300000233
1,"Ic","neg",1,0.567648899999767
1,"Ic","pos",1,0.696782200000598
1,"Ic","neg",1,0.555295899997873
1,"Ic","neg",1,0.548827999999048
1,"Ic","pos",1,0.488297899999452
1,"Ic","pos",1,0.84526029999688
1,"Ic","pos",1,0.673084000001836
1,"Ic","pos",1,0.616147000000637
1,"Ic","pos",1,0.673819899999216
1,"Ic","pos",1,0.658066299998609
1,"Ic","pos",1,0.643212399998447
1,"Ic","neg",1,0.595363899999938
1,"Ic","neg",1,0.518020100000285
1,"Ic","pos",1,0.599831800001994
1,"Ic","pos",0,0.511629799999355
1,"Ic","pos",1,0.581657300001098
1,"Ic","pos",1,0.522525000000314
1,"Ic","pos",1,0.516857800001162
1,"Ic","pos",1,0.604941800000233
1,"Ic","pos",1,0.604735299999447
1,"Ic","pos",1,0.568991799998912
1,"Ic","pos",1,0.556736900001852
1,"Ic","pos",1,0.511321900001349
1,"Ic","pos",1,0.650232699998014
1,"Ic","neg",1,0.68602699999974
1,"Ic","pos",0,0.44139290000021
1,"Ic","pos",1,0.592908999999054
1,"Ic","pos",1,0.378701499997987
1,"Ic","pos",1,0.488693399998738
1,"Ic","pos",1,0.885073099998408
1,"Ic","pos",1,0.455245500001183
1,"Ic","pos",1,0.562265299999126
1,"Ic","pos",1,0.630104700001539
1,"Ic","pos",1,0.523271800000657
1,"Ic","neg",1,0.535511199999746
1,"Ic","pos",1,0.514102599998296
1,"Ic","pos",1,0.465407799998502
1,"Ic","pos",1,0.48370100000102
1,"Ic","pos",1,0.453128600001946
1,"Ic","pos",0,0.344254499999806
1,"Ic","pos",1,0.635859199999686
1,"Ic","pos",1,0.441833999997471
1,"Ic","pos",1,0.732257199997548
1,"Ic","pos",1,0.478020300000935
1,"Ic","neg",1,0.496959299998707
1,"Ic","pos",1,0.498114100002567
1,"Ic","pos",1,0.681888700000854
1,"Ic","neg",1,0.533489999997983
1,"Ic","neg",1,0.54910960000052
1,"Ic","neg",1,0.543972100000246
1,"Ic","neg",1,0.473076899997977
1,"Ic","pos",1,0.544166300001962
1,"Ic","neg",1,0.603502399997524
1,"Ic","neg",1,0.543364900000597
1,"Ic","neg",1,0.20970760000273
1,"Ic","pos",1,0.505425700001069
1,"Ic","pos",1,0.568863099997543
1,"Ic","pos",1,0.546280900001875
1,"Ic","neg",1,0.465114800001174
1,"Ic","pos",1,0.44422730000224
1,"Ic","neg",1,0.517011399999319
1,"Ic","neg",1,0.532353499998862
1,"Ic","pos",1,0.631968300000153
1,"Ic","neg",1,0.593592200002604
1,"Ic","neg",1,0.471093899999687
1,"Ic","neg",1,0.548034100000223
1,"Ic","pos",1,0.472039800002676
1,"Ic","pos",1,0.507704799998464
1,"Ic","pos",1,0.499256900002365
1,"Ic","neg",1,0.562200699998357
1,"Ic","neg",1,0.677702599998156
1,"Ic","neg",1,0.47383279999849
1,"Ic","pos",1,0.551776599997538
1,"Ic","pos",1,0.70318540000153
1,"Ic","pos",1,0.676879800001188
1,"Ic","neg",1,0.588707799997792
1,"Ic","pos",1,0.537956899999699
1,"Ic","neg",1,0.515529500000412
1,"Ic","pos",1,0.459921699999541
1,"Ic","neg",1,0.623241600002075
1,"Ic","neg",1,0.439227400001982
1,"Ic","pos",1,0.599055299997417
1,"Ic","neg",1,0.536138200001005
1,"Ic","neg",1,0.545454499999323
1,"Ic","pos",1,0.499375200000941
1,"Ic","pos",1,0.535856100003002
1,"Ic","neg",1,0.577118199998949
1,"Ic","pos",1,0.578610799999296
1,"Ic","pos",1,0.564355300000898
1,"Ic","pos",1,0.46918899999946
1,"Ic","neg",1,0.749444900000526
1,"Ic","neg",1,0.538813900002424
1,"Ic","pos",0,0.631954000000405
1,"Ic","pos",0,0.418142000002263
1,"Ic","pos",1,0.467818400000397
1,"Ic","neg",1,0.589798199998768
1,"Ic","pos",1,0.583582200000819
10,"Co","pos",1,0.505992700025672
10,"Co","pos",1,0.485378999990644
10,"Co","pos",1,0.628229199995985
10,"Co","pos",1,0.508191399974748
10,"Co","pos",1,0.476292800012743
10,"Co","pos",1,0.54079980001552
10,"Co","pos",1,0.571750500006601
10,"Co","pos",1,0.533328400022583
10,"Co","pos",1,0.500441100011813
10,"Co","neg",1,0.580868000019109
10,"Co","pos",1,0.580515300011029
10,"Co","pos",1,0.536849700001767
10,"Co","neg",1,0.829085899982601
10,"Co","neg",1,0.726639500004239
10,"Co","pos",1,0.599699599988526
10,"Co","neg",1,0.597466399980476
10,"Co","pos",1,1.55296279999311
10,"Co","pos",1,0.53184060001513
10,"Co","pos",1,0.495857800007798
10,"Co","neg",1,0.557065000000875
10,"Co","neg",1,0.598629999993136
10,"Co","pos",1,0.500618200021563
10,"Co","pos",1,0.547996200009948
10,"Co","pos",1,0.424868800007971
10,"Co","pos",1,0.512344999995548
10,"Co","pos",1,0.623261400003685
10,"Co","pos",1,0.50517689998378
10,"Co","pos",1,0.470137500000419
10,"Co","pos",1,0.516885699995328
10,"Co","neg",1,0.561756800016155
10,"Co","neg",1,0.679460699990159
10,"Co","neg",1,0.466318699996918
10,"Co","pos",1,0.502024799992796
10,"Co","pos",0,0.977761099988129
10,"Co","pos",1,0.559616000013193
10,"Co","pos",1,0.498665100021753
10,"Co","pos",1,0.503759199986234
10,"Co","pos",1,0.534423400007654
10,"Co","pos",1,0.535688599979039
10,"Co","pos",1,0.627100399986375
10,"Co","pos",1,0.42948210000759
10,"Co","pos",1,0.543311400018865
10,"Co","pos",1,0.517123200028436
10,"Co","pos",1,1.39359859999968
10,"Co","pos",1,0.502692200010642
10,"Co","pos",1,0.913970499997959
10,"Co","pos",1,0.537828900007298
10,"Co","pos",1,0.409757599991281
10,"Co","pos",1,0.478237200004514
10,"Co","pos",1,0.598339999996824
10,"Co","pos",1,0.686775999987731
10,"Co","pos",1,0.612262100010412
10,"Co","pos",1,0.682701699988684
10,"Co","pos",1,0.457790300017223
10,"Co","neg",1,1.82682079999358
10,"Co","neg",1,1.36847050001961
10,"Co","neg",1,1.68200010000146
10,"Co","neg",1,0.856853900011629
10,"Co","pos",1,0.489701999991667
10,"Co","pos",1,0.646281199995428
10,"Co","pos",1,0.68000240001129
10,"Co","neg",1,0.58303980002529
10,"Co","neg",1,0.8650366999791
10,"Co","neg",1,0.621489399985876
10,"Co","neg",1,0.794871999998577
10,"Co","neg",1,0.986494599987054
10,"Co","neg",1,0.626359799993224
10,"Co","neg",1,0.467006999999285
10,"Co","neg",1,0.481117900024401
10,"Co","neg",1,1.651847000001
10,"Co","neg",1,1.2499347999983
10,"Co","neg",1,0.694874800014077
10,"Co","neg",0,0.529259200004162
10,"Co","neg",1,0.544430899986764
10,"Co","neg",1,0.528665500023635
10,"Co","neg",1,1.55680910000228
10,"Co","neg",1,0.758190400025342
10,"Co","neg",1,0.509666500001913
10,"Co","neg",1,0.572272599994903
10,"Co","neg",1,0.608930499991402
10,"Co","neg",1,0.53963409998687
